dataset,A,B,beta,ACC,time
ARAB,0.4339751942200794,0.3874061174025193,1.0,0.9813636363636363,245.14833068847656
AUS,0.41293793937616075,0.03462621403434621,0.01,0.9536842105263158,53.51331806182861
CHAR,0.4346221054454044,0.23446923773237624,0.0001,0.918295543393276,43.68300104141235
CMU,0.12608656096560902,0.009206287144862556,1.0,0.9310344827586207,4.120355129241943
ECG,0.060326582077073816,0.47674401990881304,1e-06,0.85,10.510356426239014
JPVOW,0.3646493106655902,0.05980392247430991,1.0,0.9783783783783784,4.2542724609375
KICK,0.4767982865548281,0.050944354428985206,1.0,0.8,6.609721660614014
LIB,0.4391600327740967,0.29063680205660847,1e-06,0.8055555555555556,12.082306861877441
NET,0.009999464135573571,0.010000005483313123,1.0,0.7827715355805244,44.85861086845398
UWAV,0.3304112646746944,0.06936991675028692,1e-06,0.8504672897196262,64.60088324546814
WAF,0.015767020335416437,0.009856072194765218,0.0001,0.9832589285714286,14.003176927566528
WALK,0.00999525281482133,0.009999960397804937,1.0,1.0,4.3353540897369385
