dataset,A,B,beta,ACC,time
ARAB,0.32009176226073216,0.31076484231461665,1.0,0.9827272727272728,186.7858009338379
AUS,0.09283604165919875,0.146728257406905,0.0001,0.9564912280701754,101.48609447479248
CHAR,0.2988002451181359,0.24236008616401974,1e-06,0.9143862392494136,29.72383999824524
CMU,0.08481876943226914,0.009073799306007505,1.0,0.9310344827586207,4.903039932250977
ECG,0.33956637529059547,0.006488769703752013,0.0001,0.85,5.920940399169922
JPVOW,0.404863607150183,0.11919968652021223,1.0,0.9486486486486486,3.5391385555267334
KICK,0.06161488902215853,0.02561312142767794,1.0,0.9,6.58454442024231
LIB,0.15930380217207635,0.44011472223512144,0.0001,0.7222222222222222,6.046095132827759
NET,0.01000055206664992,0.009999994271389076,1e-06,0.8146067415730337,57.2666802406311
UWAV,0.3271230261123698,0.2697912449477773,0.01,0.8504672897196262,38.37593960762024
WAF,0.0008497043851225606,0.0099836540000421,1e-06,0.9609375,18.441776037216187
WALK,0.35968159520998266,0.010277995793936108,1.0,1.0,3.6371231079101562
